handle,display_name,total_msgs,outbound,inbound,replied,first_msg,last_msg,scripts_used,last_inbound
kappasigma,Kappa Sigma,7,3,4,YES,2026-03-02,2026-06-11,A,What’s up?
phigammadeltafiji,Phi Gamma Delta | FIJI,7,4,3,YES,2026-02-06,2026-02-11,A,"Hey Micheal, I’m free tmrw at 7pm. You may call at 7862095594, Daniel. May I have some insights regarding to the this me"
pikappaalpha,Pi Kappa Alpha,7,6,1,YES,2025-09-12,2026-06-17,,"Hey Michael, We’re actually interested in planning something for the spring and would love to hear more about what you o"
pikappaalpha,Pi Kappa Alpha,7,3,4,YES,2026-06-17,2026-06-17,A,What’s up brotha - May I ask what the meeting is concerning?
thetachithch,Theta Chi | ΘΧ,7,3,4,YES,2026-02-27,2026-02-27,A,Whatsup man
zetabetatau,Zeta Beta Tau,7,3,4,YES,2026-08-05,2026-08-05,A,What would the call be about so I can relay it to our president
phideltathetafiu,𝐏𝐡𝐢 𝐃𝐞𝐥𝐭𝐚 𝐓𝐡𝐞𝐭𝐚 | FIU ⚔️🛡️,7,4,3,YES,2026-02-27,2026-06-11,A,"Yeah we’re down, what would the meeting be about?"
boisestatepikappaalphaalumni,Boise State Pi Kappa Alpha Alumni,6,4,2,YES,2025-11-05,2026-06-17,,"Hey brotha, thanks for reaching out ! This is Luke Momberg i run the alumni instagram, i’m currently our IVP. We are hea"
chiphichph,Chi Phi ΧΦ,6,3,3,YES,2026-06-15,2026-06-18,A,about what
kappasigmaks,Kappa Sigma ΚΣ,6,4,2,YES,2026-06-15,2026-07-01,A,"Hey Micheal, what would the meeting be for?"
pikappaalpha,Pi Kappa Alpha,6,5,1,YES,2025-09-12,2026-06-17,,Bet man let’s talk soon
pikappaalphaattheuniversityofsouthcarolina,Pi Kappa Alpha at the University of South Carolina,6,4,2,YES,2026-06-17,2026-08-05,A/B,"What’s up man, meeting about what?"
pikappaphiucf,Pi Kappa Phi UCF,6,5,1,YES,2026-03-02,2026-06-15,A,What’s it for
boisestatepikappaalpha,Boise State Pi Kappa Alpha,5,4,1,YES,2025-09-12,2026-01-13,,"Hey Michael, right now we have a company for our fall formal but could be potentially interested in Spring and comparing"
bucknellfiji,Bucknell Fiji,5,3,2,YES,2026-07-06,2026-07-22,A/B,What is this about
deltataudelta,Delta Tau Delta,5,3,2,YES,2026-03-02,2026-03-02,A,What is this regarding?
phideltathetarutgersuniversity,Phi Delta Theta - Rutgers University,5,3,2,YES,2026-06-15,2026-06-15,A,What would the call be regarding?
phikappapsiuniversityoftennessee,Phi Kappa Psi | University of Tennessee,5,4,1,YES,2026-06-11,2026-08-05,A,"Hi Michael, do you mind me asking what you need to meet with him for?"
pikappaalpha,Pi Kappa Alpha,5,3,2,YES,2026-06-15,2026-06-15,A,"Whats up bro, what’s it ab?"
pikappaalphafraternity,Pi Kappa Alpha Fraternity,5,4,1,YES,2026-06-17,2026-08-05,A/B,"Sure man, I’ll let him know what would the meeting subject be?"
pikappaphithetadeltafiu,Pi Kappa Phi - Theta Delta (FIU),5,2,3,YES,2026-06-18,2026-07-06,A,"I will let the president know, I’ll get back to you shortly."
tkesouthcarolina,TKE - South Carolina,5,2,3,YES,2026-08-05,2026-08-05,A,"Hey what’s up Michael, is there any chance I can hear more about what you’d be talking about?"
vanderbiltpikappaalphapike,Vanderbilt Pi Kappa Alpha | Pike,5,2,3,YES,2026-06-17,2026-06-18,A,For what purpose
pkacsun,ΠΚΑ | CSUN,5,2,3,YES,2026-06-17,2026-06-19,A,Liked a message
alphagammarhomissouristateuniversity,Alpha Gamma Rho - Missouri State University,4,2,2,YES,2026-07-07,2026-07-08,A/B,What would you like to discuss Michael
alphasigmaphiepsilonrho,Alpha Sigma Phi | Epsilon Rho,4,3,1,YES,2026-02-11,2026-08-05,A,What would the meeting be about?
deltasigmaphiucf,DELTA SIGMA PHI UCF,4,2,2,YES,2026-03-02,2026-03-03,A,"Hey, if you could tell me what about. I can give him your contact info."
deltasigdsph,Delta Sig | ΔΣΦ,4,2,2,YES,2026-06-11,2026-07-09,A/B,Yeah what for?
fiusigepsphe,FIU SigEp | ΣΦΕ,4,3,1,YES,2026-02-27,2026-06-11,A,"Hey, what will it be about"
lambdachialpha,Lambda Chi Alpha,4,2,2,YES,2026-08-05,2026-08-05,A/B,"This would be the president, what would the call be about?"
missouristatesigmanu,Missouri State Sigma Nu,4,2,2,YES,2026-07-07,2026-07-07,A/B,What would you need to speak with him about?
sigmaalphamu,Sigma Alpha Mu,4,2,2,YES,2026-02-06,2026-02-06,A,"Yeah, my name is Derrick I’m the Public Relations chair and I run the socials. Before I give his number may I ask the re"
tauepsilonphiuf,Tau Epsilon Phi - UF,4,1,3,YES,2026-03-02,2026-03-04,A,(561) 430-1479
thetachi,Theta Chi,4,3,1,YES,2026-02-10,2026-08-05,A,What the reason for the meeting?
thetachiucf,Theta Chi UCF,4,2,2,YES,2026-03-02,2026-03-03,A,Yea i’ll send you his contact info. ❤Michael Vita
usfdeltataudelta,USF Delta Tau Delta,3,1,2,YES,2026-03-02,2026-03-22,A,Hey man sorry I just saw this
clemsonuniversitybthp,Clemson University ΒΘΠ,3,1,2,YES,2026-02-10,2026-02-11,A,Sure thing
alphatauomega,Alpha Tau Omega,3,1,2,YES,2026-06-15,2026-06-17,A,"What’s up Michael, this is Rocco the president. Here’s my insta"
alphatauomegapennstate,Alpha Tau Omega | Penn State,3,2,1,YES,2026-06-11,2026-06-15,A,What is this regarding
betathetapideltachapter,Beta Theta Pi | Delta Chapter,3,2,1,YES,2026-06-18,2026-07-06,A/B,whats it about?
floridafiji,Florida FIJI,3,2,1,YES,2026-03-02,2026-03-02,A,Absolutely! Our presidents phone number is (704)-891-5505
instagramuser,Instagram User,3,0,3,YES,2026-04-05,2026-04-05,,Liked a message
instagramuser,Instagram User,3,1,2,YES,2026-06-18,2026-06-18,,Audio call started
kappasigma,Kappa Sigma,3,2,1,YES,2026-07-06,2026-07-22,A,What would the call entail so I can contact our president
missouristatekappasigma,Missouri State Kappa Sigma,3,2,1,YES,2026-07-07,2026-07-07,A,His number is 417-766-3424. But shoot him a text right now. I’m with him
phideltatheta,Phi Delta Theta,3,1,2,YES,2026-06-15,2026-06-17,A,3154009536
phideltathetagcsu,Phi Delta Theta - GCSU,3,2,1,YES,2026-08-05,2026-08-05,A,What’s the topic
pikappaalphaepsilonomega,Pi Kappa Alpha - Epsilon Omega,3,1,2,YES,2026-06-17,2026-07-01,A,"Hey Micheal, and sounds good I’ll send you his information and let him know to be expecting a call."
pikappaalphageorgiatech,Pi Kappa Alpha • Georgia Tech,3,1,2,YES,2026-06-17,2026-07-08,A,"Yea of course, hit him up"
pikappaphi,Pi Kappa Phi,3,2,1,YES,2026-06-18,2026-06-18,A,"For sure, whats the meeting about, I can let him know."
pikappaphiiotamu,Pi Kappa Phi - Iota Mu,3,2,1,YES,2026-06-18,2026-07-06,A/B,"Hey, what’s up! Can I ask what this is concerning?"
pikappaphihighpoint,Pi Kappa Phi | High Point,3,2,1,YES,2026-06-18,2026-07-06,A/B,Do you mind giving me a little bit more information about what you are trying to sell or push for us to use
rusigmaalphamu,RU Sigma Alpha Mu,3,2,1,YES,2026-06-15,2026-06-15,A,What do you want to know about our fraternity?
riponcollegesigmachisx,Ripon College Sigma Chi (ΣX),3,1,2,YES,2026-06-18,2026-07-08,A,"Hi! Thanks for reaching out, sorry for just seeing your message now. Our president’s phone number is 9206393646. If ther"
sigmachi,Sigma Chi,3,2,1,YES,2026-06-18,2026-07-06,A/B,Hey! Could I ask what the call would pertain to
sigmachiuniversityofpittsburgh,Sigma Chi | University of Pittsburgh,3,2,1,YES,2026-01-13,2026-01-13,,Here’s one of our exec members number 2672297802
sigmachischnorthtexas,Sigma Chi ΣΧ | North Texas,3,2,1,YES,2026-07-07,2026-07-08,A,"Hey man I’m Grayson i’m the consul, are you free tomorrow around 5?"
sigmaphiepsilonmissourieta,Sigma Phi Epsilon Missouri Eta,3,2,1,YES,2026-07-07,2026-07-07,A/B,Yea for sure man can I ask what for
sigmataugammaeph,Sigma Tau Gamma - ΕΦ,3,2,1,YES,2026-06-15,2026-07-06,A/B,What’s up man what questions or interests do you have?
syracusepkph,Syracuse ΠΚΦ,3,1,2,YES,2026-06-16,2026-06-16,A,"Hey Michael, sure his name is Hayden and I’ll send his phone number seperate"
thetachitufts,THETA CHI TUFTS,3,2,1,YES,2026-06-18,2026-07-06,B,Can u summarize what it’s about
tennesseedeltataudeltadtd,Tennessee Delta Tau Delta | ΔΤΔ,3,1,2,YES,2026-06-11,2026-06-21,A,"Hi Michael, thanks for reaching out. Here’s our presidents instagram for you to reach out to."
thetachiatindianauniversity,Theta Chi at Indiana University,3,2,1,YES,2026-02-11,2026-03-02,A,What’s the meeting for
wsupikappaalphapike,WSU Pi Kappa Alpha ~ PIKE,3,2,1,YES,2026-06-17,2026-07-06,A/B,"Hello, can I ask what this regards?"
greta,greta🧚‍♀️,3,1,2,YES,2026-07-14,2026-07-15,,Happy bday!!🕺 https://www.instagram.com/stories/michaelvita_/3941132152652407173 ❤Michael Vita
pkageorgemasonuniversity,ΠΚΑ George Mason University,3,1,2,YES,2026-06-17,2026-06-17,A,What’s up Michael thanks for reaching out. This is Bibek the Recruitment Chair. I’ll attach our president’s number below
pkaupsilonchapter,ΠΚΑ Upsilon Chapter,3,2,1,YES,2026-06-18,2026-07-06,A/B,"Hello, what does this regard?"
pilamwestchester,Pilam West Chester,2,1,1,YES,2026-07-06,2026-07-10,A,"Hey Michael, sorry for the late reply I can send you the presidents personal instagram and you can schedule that with hi"
alphaepsilonpiuf,Alpha Epsilon Pi - UF,2,1,1,YES,2026-03-02,2026-04-01,A,About what?
alphasigmaphiatuwg,Alpha Sigma Phi at UWG,2,1,1,YES,2026-08-05,2026-08-06,A,Heard! I’ll let them know!
alphatauomega,Alpha Tau Omega,2,1,1,YES,2026-07-06,2026-08-01,A,"Yo I just saw this, my apologies"
alphazetafraternitymorrillchapter,Alpha Zeta Fraternity - Morrill Chapter,2,1,1,YES,2026-06-11,2026-07-09,A,What’s FAU
arnulfosebastian,Arnulfo-sebastian,2,1,1,YES,2025-12-15,2025-12-15,,😂Michael Vita
betaetaques,Beta Eta Ques,2,1,1,YES,2026-06-15,2026-06-16,A,"You can call 2067670282, that is our president Jaqson"
betathetapinebraska,Beta Theta Pi - Nebraska,2,1,1,YES,2026-02-10,2026-02-11,A,"Yea thanks for reaching out, his name is Aiden Makovicka his number is +1 (651) 387-8369"
betathetapifgcu,Beta Theta Pi – FGCU,2,1,1,YES,2026-03-02,2026-03-02,A,"Thanks for reaching out, I’d be interested to hear what you got for us. This is the president’s phone number +1 (941) 71"
chipsialphaupsilon,Chi Psi Alpha Upsilon,2,1,1,YES,2026-07-06,2026-07-28,A,Hey man! What do you want to talk about? I’m free later this afternoon after 5 if you want to give me a call!
deltachiwestchesterdch,Delta Chi | West Chester | ΔΧ,2,1,1,YES,2026-07-06,2026-07-08,A,"What’s up man, what’s the meeting regarding?"
deltakappaepsilonrutgers,Delta Kappa Epsilon - Rutgers,2,1,1,YES,2026-06-15,2026-06-17,A,"Hey Mike, you can contact our secretary Rag @raghav.divekar"
deltataudelta,Delta Tau Delta,2,1,1,YES,2026-03-02,2026-03-02,A,What’s up bro! I got you..our president is Ben Seanna and he can be reached at this number +1 (540) 818-8719 ❤Michael Vi
kappaalphaorderzo,Kappa Alpha Order - ΖΩ,2,1,1,YES,2026-08-05,2026-08-05,A,(908) 451-6811
kappadeltarhokdr,Kappa Delta Rho (ΚΔΡ),2,1,1,YES,2026-07-06,2026-07-11,A,What would the meeting be about? Just curious.
kappasigmaattheuniversityofsouthflorida,Kappa Sigma at the University of South Florida,2,1,1,YES,2026-06-15,2026-06-21,A,Give our vp a text +1 (516) 457-6939 - Adam
lambdachialpha,Lambda Chi Alpha,2,1,1,YES,2026-06-11,2026-06-13,A,You can shoot him a text. His name is Jack: +1 (609) 500-8038
lambdachialphakutztown,Lambda Chi Alpha Kutztown,2,1,1,YES,2026-07-06,2026-07-06,A,"I can send you his instagram, his phone number is 610-306-8321"
lambdachialphaiotaomega,Lambda Chi Alpha | Iota-Omega,2,1,1,YES,2026-07-06,2026-07-06,A,How’s it going man. This is his number right here: +1 (985) 273-4136
lexie,Lexie,2,1,1,YES,2026-07-14,2026-07-15,,Happy Birthday Michael!!!! Hope you have a great da!!! https://www.instagram.com/stories/michaelvita_/394113215265240717
pikappaalpha,Pi Kappa Alpha,2,1,1,YES,2026-06-17,2026-06-17,A,"Hey Michael, thanks for reaching out. You can contact our President, Ryder, at (224) 855-0350."
pikappaalpha,Pi Kappa Alpha,2,1,1,YES,2026-07-05,2026-07-07,A,"Hey man for sure. Our president is Trey Prather, here’s his phone number: +1 (270) 505-6299"
pikappaalpha,Pi Kappa Alpha,2,1,1,YES,2026-02-10,2026-02-11,A,Thank you for reaching out! Attached is our presidents instagram if you want to reach out with more details! https://www
pikappaalphaiotapsialumnichapter,Pi Kappa Alpha - Iota Psi Alumni Chapter,2,1,1,YES,2026-06-17,2026-06-17,A,This is our chapters alumni association. @appstatepikes is the undergraduate chapter
pikappaalphakappaepsilon,Pi Kappa Alpha - Kappa Epsilon,2,1,1,YES,2026-06-17,2026-06-18,A,"How’s it going this is the president, Jackson Cutlan, my number is (314) 915-1199, shoot me a text when you can!"
pikappaalphazetaalphaa,Pi Kappa Alpha - Zeta Alpha A,2,1,1,YES,2026-06-17,2026-06-18,A,Lance Decker: 616-302-7332
pikappaalpharosehulman,Pi Kappa Alpha Rose-Hulman,2,1,1,YES,2026-06-17,2026-06-17,A,"Hey Michael, you can text him at 708 267 9588 and figure out a time that works"
pikappaalphauniversityofnebraskakearney,Pi Kappa Alpha • University of Nebraska - Kearney,2,1,1,YES,2026-06-17,2026-06-19,A,"Shoot him a text at 308-385-8975, his name is Mason Hill"
pikappaphi,Pi Kappa Phi,2,1,1,YES,2026-06-15,2026-06-29,A,"Sorry for the late response Michael, this is the President and I’d be happy to speak. Contact me at 6097426093."
pikappaphisusquehannauniversity,Pi Kappa Phi - Susquehanna University,2,1,1,YES,2026-06-18,2026-06-20,A,Hey man hope you are doing well. Our presidents Instagram is @emumau_ you can contact him through there. Thanks!
pikappaphilongwooduniversity,Pi Kappa Phi-Longwood University,2,1,1,YES,2026-06-18,2026-06-18,A,https://www.instagram.com/hayes_walton125?igsh=MXA3N2d4MGlnNDA1OQ%3D%3D hayes_walton125 Hayes Walton https://www.instagr
pikeszab,Pikes ZAB,2,1,1,YES,2026-06-17,2026-06-20,A,Contact him here: perd5094@kettering.edu
sigmachiuwyo,SIGMA CHI UWYO,2,1,1,YES,2026-06-18,2026-06-18,A,We aren’t interested
sigmaalphamufraternitygt,Sigma Alpha Mu Fraternity- ΓΤ,2,1,1,YES,2026-06-15,2026-06-30,A,Hey you can reach him at 7578073526
sigmachigeorgiasouthern,Sigma Chi - Georgia Southern,2,1,1,YES,2026-08-05,2026-08-05,A,Hey how’s it going! You can call our President at 706-567-2610
sigmachiketteringuniversityb,Sigma Chi | Kettering University B,2,1,1,YES,2026-06-18,2026-06-24,A,"Waddup, here’s his email, his name is Luke Moceri lmoceri05@gmail.com"
sigmachischkappa,Sigma Chi ΣΧ | Kappa,2,1,1,YES,2026-07-06,2026-07-06,A,Hey Michael here is our president’s phone number: Jack Mcclaud +1 (973) 886-3972
sigmaphiepsilonmu,Sigma Phi Epsilon - MU,2,1,1,YES,2026-07-06,2026-07-27,A,"Hey sorry just seeing this, the Pres is Josiah Peters his numbers 4845221710"
southeastmissouristatepikes,Southeast Missouri State Pikes,2,1,1,YES,2026-06-17,2026-06-17,A,Hey Michael! Our President is Zane West and he can be reached at (573) 210-2565
taukappaepsilon,Tau Kappa Epsilon,2,1,1,YES,2026-06-15,2026-06-15,A,Yeah our president’s Gibson Cheney 601-896-6323
thetaxigammaphichapter,Theta Xi - Gamma Phi Chapter,2,1,1,YES,2026-08-05,2026-08-05,A,"Hey! Thanks for reaching out I'll send over his phone number so you can get in contact with him, his phone number is 770"
ulsigmanu,UL Sigma Nu,2,1,1,YES,2026-07-06,2026-07-06,A,"3374672251 This is our presidents number, shoot him a text!"
whitmanbetathetapibthp,Whitman Beta Theta Pi ΒΘΠ,2,1,1,YES,2026-02-10,2026-02-11,A,"Yea sure, you can reach out to him @aibakcheema"
_juliannunez_,_juliannunez_,2,1,1,YES,2026-05-16,2026-05-16,,"_juliannunez_ sent an attachment. Tell the bartender, “Fuck it, give me everything you have” #GAME2ATHOME 🇩🇴🇩🇴 _juliannu"
pka,ΠKA,2,1,1,YES,2026-06-17,2026-06-17,A,"Yeah sure, (857) 272-1642 is his number and his name is Michael Alpers."
pkaatamericanuniversity,ΠΚΑ at American University,2,1,1,YES,2026-06-17,2026-06-17,A,Here is his number: (612) 968-5956
sigmaphiepsilonusf,𝗦𝗜𝗚𝗠𝗔 𝗣𝗛𝗜 𝗘𝗣𝗦𝗜𝗟𝗢𝗡 | 𝗨𝗦𝗙,2,1,1,YES,2026-06-15,2026-06-16,A,"what’s up man, here is presidents number (305) 495-9949. If you need anything else let me know"
pikappaalphafraternity,Pi Kappa Alpha Fraternity,4,4,0,no,2026-06-16,2026-06-17,A,
sigmachizetazeta,Sigma Chi - Zeta Zeta,3,3,0,no,2026-07-06,2026-07-06,A,
taukappaepsilon,Tau Kappa Epsilon,3,3,0,no,2026-02-06,2026-02-27,A,
pkanuchapter,ΠΚΑ | Nu Chapter,3,3,0,no,2026-07-06,2026-07-06,A,
betathetapi,Beta Theta Pi,2,2,0,no,2026-07-06,2026-07-06,A,
betathetapiepsilon,Beta Theta Pi - Epsilon,2,2,0,no,2026-07-06,2026-07-06,A,
fiusigepalumni,FIU SigEp Alumni,2,2,0,no,2026-02-27,2026-03-02,A,
ferrisstatepikappaalpha,Ferris State Pi Kappa Alpha,2,2,0,no,2026-06-17,2026-06-17,A,
furmansigmachiiotanu,Furman Sigma Chi - Iota Nu,2,2,0,no,2026-07-06,2026-07-06,A,
pikappaalpha,PI KAPPA ALPHA,2,2,0,no,2026-02-10,2026-03-02,A,
phideltathetaatusc,Phi Delta Theta at USC,2,2,0,no,2026-08-05,2026-08-05,A,
phikappathetaphiwho,Phi Kappa Theta [Phi Who],2,2,0,no,2026-06-11,2026-06-11,A,
pikappaalpha,Pi Kappa Alpha,2,2,0,no,2025-09-12,2026-03-02,,
pikappaalpha,Pi Kappa Alpha,2,2,0,no,2025-09-12,2026-06-17,A,
pikappaalphakentstate,Pi Kappa Alpha • Kent State,2,2,0,no,2026-07-05,2026-07-05,A,
pikappaphi,Pi Kappa Phi,2,2,0,no,2026-07-06,2026-07-06,A,
pikappaphi,Pi Kappa Phi,2,2,0,no,2026-08-05,2026-08-05,A,
pikappaphipennstate,Pi Kappa Phi | Penn State,2,2,0,no,2026-06-11,2026-06-11,A,
pikappaphikappalambda,"Pi Kappa Phi, Kappa Lambda",2,2,0,no,2026-01-14,2026-06-18,A,
sigepbucknell,SigEp Bucknell,2,2,0,no,2026-07-06,2026-07-06,A,
sigmachiunivofsouthflorida,Sigma Chi | Univ of South Florida,2,2,0,no,2026-01-13,2026-03-02,A,
sigmachischfloridainternational,Sigma Chi ΣΧ | Florida International,2,2,0,no,2026-02-27,2026-03-02,A,
sigmachi,Sigma Chi 🫰🏼,2,2,0,no,2026-02-10,2026-08-05,A,
southalabamapka,South Alabama | ΠΚΑ,2,2,0,no,2025-09-12,2026-06-17,A,
tauepsilonphi,TAU EPSILON PHI,2,2,0,no,2026-06-15,2026-06-17,A,
tennesseepikespka,Tennessee Pikes (ΠΚΑ),2,2,0,no,2026-08-05,2026-08-05,A,
unczetapsi,UNC Zeta Psi,2,2,0,no,2026-08-05,2026-08-05,A,
zetabetatauzbt,Zeta Beta Tau (ZBT),2,2,0,no,2026-03-02,2026-06-15,A,
pkatheuniversityofflorida,ΠΚΑ - The University of Florida,2,2,0,no,2026-06-15,2026-07-22,A,
pkaes,ΠΚΑ ΗΣ,2,2,0,no,2026-08-05,2026-08-05,A,
saegeorgiasouthern,ΣΑΕ Georgia Southern,2,2,0,no,2026-08-05,2026-08-05,A,
betathetapi,𝐁𝐞𝐭𝐚 𝐓𝐡𝐞𝐭𝐚 𝐏𝐢,2,2,0,no,2026-02-27,2026-03-02,A,
deltasigmaphi,𝐃𝐞𝐥𝐭𝐚 𝐒𝐢𝐠𝐦𝐚 𝐏𝐡𝐢,2,2,0,no,2026-02-27,2026-03-02,A,
sigmachi,𝙎𝙄𝙂𝙈𝘼 𝘾𝙃𝙄,2,2,0,no,2026-01-13,2026-06-18,A,
alphaepsilonpi,ALPHA EPSILON PI,1,1,0,no,2026-03-02,2026-03-02,A,
alphaepsilonpifraternityfloridainternationaluniversity,ALPHA EPSILON PI FRATERNITY - Florida International University,1,1,0,no,2026-06-18,2026-06-18,A,
asukappasigma,ASU Kappa Sigma,1,1,0,no,2026-08-05,2026-08-05,A,
asusigmachi,ASU Sigma Chi,1,1,0,no,2026-06-18,2026-06-18,A,
atobetadelta,ATΩ Beta Delta,1,1,0,no,2026-06-15,2026-06-15,A,
adriancollegepka,Adrian College ΠΚΑ,1,1,0,no,2026-06-17,2026-06-17,A,
alabamafarmhousefraternity,Alabama FarmHouse Fraternity,1,1,0,no,2026-06-15,2026-06-15,A,
alphachirho,Alpha Chi Rho,1,1,0,no,2026-07-06,2026-07-06,A,
alphachirhocrowkutztownuniversity,Alpha Chi Rho [Crow] - Kutztown University,1,1,0,no,2026-07-06,2026-07-06,A,
alphachirhogettysburg,Alpha Chi Rho | Gettysburg,1,1,0,no,2026-07-06,2026-07-06,A,
alphachirhopsu,Alpha Chi Rho | PSU,1,1,0,no,2026-06-11,2026-06-11,A,
alphadeltaphi,Alpha Delta Phi,1,1,0,no,2026-06-15,2026-06-15,A,
alphadeltaphirochester,Alpha Delta Phi - Rochester,1,1,0,no,2026-07-06,2026-07-06,A,
alphadeltaphiadph,Alpha Delta Phi ΑΔΦ,1,1,0,no,2026-06-11,2026-06-11,A,
alphaepsilonpipn,Alpha Epsilon Pi - PN,1,1,0,no,2026-07-06,2026-07-06,A,
alphaepsilonpitennessee,Alpha Epsilon Pi Tennessee,1,1,0,no,2026-08-05,2026-08-05,A,
alphagammarho,Alpha Gamma Rho,1,1,0,no,2026-08-05,2026-08-05,A,
alphagammarho,Alpha Gamma Rho,1,1,0,no,2026-03-02,2026-03-02,A,
alphagammasigmaags,Alpha Gamma Sigma - ΑΓΣ,1,1,0,no,2026-08-05,2026-08-05,A,
alphakappalambda,Alpha Kappa Lambda,1,1,0,no,2026-06-15,2026-06-15,A,
alphakappalambda,Alpha Kappa Lambda,1,1,0,no,2026-06-11,2026-06-11,A,
alphaphidelta,Alpha Phi Delta,1,1,0,no,2026-06-11,2026-06-11,A,
alphaphidelta,Alpha Phi Delta,1,1,0,no,2026-06-15,2026-06-15,A,
alpharhoalumni,Alpha Rho Alumni,1,1,0,no,2026-06-18,2026-06-18,A,
alpharhochivitruvius,Alpha Rho Chi | Vitruvius,1,1,0,no,2026-06-11,2026-06-11,A,
alphasigmaphi,Alpha Sigma Phi,1,1,0,no,2026-08-05,2026-08-05,A,
alphasigmaphimissouristate,Alpha Sigma Phi - Missouri State,1,1,0,no,2026-07-07,2026-07-07,A,
alphasigmaphipennstate,Alpha Sigma Phi - Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
alphasigmaphiusc,Alpha Sigma Phi USC,1,1,0,no,2026-08-05,2026-08-05,A,
alphasigmaphiattheuniversityofalabama,Alpha Sigma Phi at The University of Alabama,1,1,0,no,2026-06-15,2026-06-15,A,
alphasigmaphiasph,Alpha Sigma Phi | ΑΣΦ,1,1,0,no,2026-02-27,2026-02-27,A,
alphatauomega,Alpha Tau Omega,1,1,0,no,2026-03-02,2026-03-02,A,
alphatauomega,Alpha Tau Omega,1,1,0,no,2026-07-06,2026-07-06,A,
alphatauomega,Alpha Tau Omega,1,1,0,no,2026-07-06,2026-07-06,A,
alphatauomega,Alpha Tau Omega,1,1,0,no,2026-08-05,2026-08-05,A,
alphatauomegaucf,Alpha Tau Omega UCF,1,1,0,no,2026-06-15,2026-06-15,A,
alphatauomegaecu,Alpha Tau Omega | ECU,1,1,0,no,2026-08-05,2026-08-05,A,
alphatauomegakennesawstate,Alpha Tau Omega | Kennesaw State,1,1,0,no,2026-08-05,2026-08-05,A,
alphatauomegasyracuseuniversity,Alpha Tau Omega | Syracuse University,1,1,0,no,2026-06-16,2026-06-16,A,
alphatauomegaappalachianstate,Alpha Tau Omega- Appalachian State,1,1,0,no,2026-08-05,2026-08-05,A,
appalachianstatedeltataudeltadtd,Appalachian State Delta Tau Delta - ΔTΔ,1,1,0,no,2026-08-05,2026-08-05,A,
